"year","country","dengue_count"
2002,"Bolivia",101
2002,"Brazil",73
2002,"India",62
2002,"Indonesia",101
2002,"Singapore",59
2003,"Bolivia",143
2003,"Brazil",98
2003,"India",47
2003,"Indonesia",39
2003,"Singapore",59
2003,"Bolivia",176
2003,"Brazil",119
2003,"India",51
2003,"Indonesia",59
2003,"Mexico",71
2003,"Singapore",238
2003,"Bolivia",173
2003,"Brazil",170
2003,"India",32
2003,"Indonesia",39
2003,"Mexico",52
2003,"Singapore",175
2003,"Bolivia",146
2003,"Brazil",138
2003,"India",40
2003,"Indonesia",112
2003,"Mexico",48
2003,"Singapore",164
2003,"Bolivia",160
2003,"Brazil",202
2003,"India",38
2003,"Indonesia",49
2003,"Mexico",41
2003,"Singapore",163
2003,"Bolivia",225
2003,"Brazil",179
2003,"India",19
2003,"Indonesia",60
2003,"Mexico",42
2003,"Singapore",150
2003,"Argentina",46
2003,"Bolivia",109
2003,"Brazil",239
2003,"India",8
2003,"Indonesia",39
2003,"Mexico",49
2003,"Singapore",144
2003,"Venezuela",139
2003,"Argentina",48
2003,"Bolivia",147
2003,"Brazil",205
2003,"India",22
2003,"Indonesia",78
2003,"Mexico",54
2003,"Singapore",142
2003,"Venezuela",137
2003,"Argentina",51
2003,"Bolivia",119
2003,"Brazil",142
2003,"India",28
2003,"Indonesia",48
2003,"Mexico",75
2003,"Singapore",129
2003,"Venezuela",168
2003,"Argentina",51
2003,"Bolivia",195
2003,"Brazil",280
2003,"India",3
2003,"Indonesia",89
2003,"Mexico",96
2003,"Singapore",130
2003,"Venezuela",169
2003,"Argentina",46
2003,"Bolivia",289
2003,"Brazil",162
2003,"India",6
2003,"Indonesia",80
2003,"Mexico",64
2003,"Singapore",120
2003,"Venezuela",157
2003,"Argentina",43
2003,"Bolivia",227
2003,"Brazil",170
2003,"India",15
2003,"Indonesia",54
2003,"Mexico",73
2003,"Singapore",115
2003,"Venezuela",154
2003,"Argentina",39
2003,"Bolivia",194
2003,"Brazil",176
2003,"India",33
2003,"Indonesia",71
2003,"Mexico",76
2003,"Philippines",59
2003,"Singapore",104
2003,"Venezuela",138
2003,"Argentina",36
2003,"Bolivia",121
2003,"Brazil",134
2003,"India",8
2003,"Indonesia",54
2003,"Mexico",68
2003,"Philippines",59
2003,"Singapore",107
2003,"Venezuela",136
2003,"Argentina",31
2003,"Bolivia",101
2003,"Brazil",150
2003,"India",12
2003,"Indonesia",88
2003,"Mexico",55
2003,"Philippines",58
2003,"Singapore",101
2003,"Venezuela",129
2003,"Argentina",29
2003,"Bolivia",147
2003,"Brazil",104
2003,"India",30
2003,"Indonesia",54
2003,"Mexico",56
2003,"Philippines",58
2003,"Singapore",102
2003,"Venezuela",168
2003,"Argentina",34
2003,"Bolivia",97
2003,"Brazil",104
2003,"India",4
2003,"Indonesia",81
2003,"Mexico",72
2003,"Philippines",61
2003,"Singapore",128
2003,"Venezuela",263
2003,"Argentina",31
2003,"Bolivia",69
2003,"Brazil",89
2003,"India",7
2003,"Indonesia",68
2003,"Mexico",71
2003,"Philippines",59
2003,"Singapore",132
2003,"Venezuela",222
2003,"Argentina",39
2003,"Bolivia",64
2003,"Brazil",67
2003,"India",0
2003,"Indonesia",48
2003,"Mexico",60
2003,"Philippines",59
2003,"Singapore",140
2003,"Venezuela",200
2003,"Argentina",39
2003,"Bolivia",53
2003,"Brazil",109
2003,"India",19
2003,"Indonesia",61
2003,"Mexico",69
2003,"Philippines",57
2003,"Singapore",151
2003,"Venezuela",202
2003,"Argentina",39
2003,"Bolivia",64
2003,"Brazil",71
2003,"India",15
2003,"Indonesia",62
2003,"Mexico",74
2003,"Philippines",55
2003,"Singapore",175
2003,"Venezuela",177
2003,"Argentina",34
2003,"Bolivia",58
2003,"Brazil",80
2003,"India",31
2003,"Indonesia",82
2003,"Mexico",79
2003,"Philippines",62
2003,"Singapore",161
2003,"Venezuela",192
2003,"Argentina",39
2003,"Bolivia",42
2003,"Brazil",62
2003,"India",50
2003,"Indonesia",69
2003,"Mexico",88
2003,"Philippines",59
2003,"Singapore",150
2003,"Venezuela",186
2003,"Argentina",39
2003,"Bolivia",47
2003,"Brazil",36
2003,"India",94
2003,"Indonesia",55
2003,"Mexico",74
2003,"Philippines",59
2003,"Singapore",163
2003,"Venezuela",178
2003,"Argentina",39
2003,"Bolivia",39
2003,"Brazil",73
2003,"India",165
2003,"Indonesia",55
2003,"Mexico",56
2003,"Philippines",58
2003,"Singapore",143
2003,"Venezuela",160
2003,"Argentina",31
2003,"Bolivia",38
2003,"Brazil",56
2003,"India",170
2003,"Indonesia",47
2003,"Mexico",71
2003,"Philippines",58
2003,"Singapore",132
2003,"Venezuela",172
2003,"Argentina",34
2003,"Bolivia",29
2003,"Brazil",18
2003,"India",195
2003,"Indonesia",100
2003,"Mexico",86
2003,"Philippines",56
2003,"Singapore",120
2003,"Venezuela",159
2003,"Argentina",36
2003,"Bolivia",23
2003,"Brazil",15
2003,"India",174
2003,"Indonesia",73
2003,"Mexico",72
2003,"Philippines",57
2003,"Singapore",129
